-------------------------------------------------------------------------------------------------------------------------------------
ID-EMPLEADO | NOMBRE                    | APELLIDO                  | DIRECCION                                          | COD-POSTAL
-------------------------------------------------------------------------------------------------------------------------------------
12566708    | CASTILLON                 | FELICITA VICTORIA         | Diagonal Norte 910                                 |       7908
12566709    | SANCHEZ                   | PAOLA DEL ROSARIO         | Av. Corrientes 1236                                |       2267
12566711    | SANCHEZ                   | ELIZABETH LUZ             | Florida 474                                        |       4342
12566714    | MENACHO                   | PEDRO ALFONSO             | Av. Cordoba 1467                                   |       2437
12566718    | APARICIO                  | KENYI ARIADNA             | Av. de Mayo 602                                    |       5020
12566719    | FERNANDEZ                 | URSULA MARIA              | Av. Santa Fe 1310                                  |       6175
12566720    | JARA                      | JUAN                      | Av. Santa Fe 802                                   |       8045
12566725    | TASAYCO                   | ROSA HELLEN               | Av. Corrientes 1820                                |       1288
12566730    | COLOMA                    | JIMMY VICTOR              | Av. Santa Fe 1740                                  |       2866
12566731    | REED                      | EDWIN EDDY                | Rodriguez Peña 1572                                |       2719
12566732    | FERNANDEZ CONCHA          | MARIA LAURA               | Alicia M. de Justo 350                             |       4011
12566733    | NIQUEN                    | MIGUEL                    | Av. Callao 1600                                    |       1813
12566734    | JIMENEZ                   | JULISSA LIZETH            | Av. Rivadavia 2215                                 |       7605
12566735    | SANCHEZ                   | RUTH OLINDA               | Av. Santa Fe 2139                                  |       8144
12566737    | VALDEZ                    | ESTHER MARICEL            | Av. Las Heras 2055                                 |       1309
12566738    | AVANTO                    | GUIDO                     | Juana Manso 1189                                   |       2500
12566739    | PARDO                     | MARIBEL CRISPINA          | Av. San Juan 387                                   |       5285
12566740    | PERSIVALE                 | CARLOS                    | Peña 2383                                          |       1377
12566743    | MARTINEZ                  | CLAUDIA ROZANA            | Av. Las Heras 2324                                 |       2277
12566744    | TORRES                    | SANDRA FRANCESCA          | Av. Pueyrredon 539                                 |       7531
12566745    | TRUJILLO                  | MARISSEL ALICIA           | Av. Independencia 2676                             |       2017
12566746    | MARCELO                   | MAXIMO GRIGORIY           | Av. Santa Fe 2822                                  |       4554
12566749    | RIVERA                    | EDDY GUILLERMO            | Av. Corrientes 3202                                |       5595
12566751    | ORTEGA                    | JOSE MIGUEL GIUSEPPI      | Av. Rivadavia 310                                  |       8810
12566753    | VARELA                    | JOSE LUIS                 | Republica Dominicana 3358                          |       5722
12566754    | HANDAL DE NAVEA           | KARIM ARACELLY            | Av. Santa Fe 3380                                  |       5698
12566755    | SANCHEZ                   | PATRICK                   | Montes de Oca 894                                  |       2781
12566756    | RIVERA                    | CARLOS                    | Scalabrini Ortiz 3149                              |       3185
12566757    | SILVERA                   | CELIA VICTORIA            | Esteban Adrogué 1052 / 58                          |       7660
12566758    | CAPCHA                    | ALDO JOSE                 | Silverio Almiró 21 / 29                            |       6380
